category,title,authors,date,primary_url,repo_url,method,limitations,relevance,access_date
routing,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,"William Fedus; Barret Zoph; Noam Shazeer",2021-01-11,https://arxiv.org/abs/2101.03961,,top-1 sparse MoE routing,"routing instability; load balance; communication overhead",strong sparse routing baseline for H1,2026-06-20
routing,Mixture-of-Experts with Expert Choice Routing,"Yanqi Zhou et al.",2022-02-18,https://arxiv.org/abs/2202.09368,,experts choose top-k tokens,"routing still depends on batch/expert capacity; can drop or vary token assignment",load-balanced alternative to token-choice routing,2026-06-20
routing,Hash Layers For Large Sparse Models,"Stephen Roller; Sainbayar Sukhbaatar; Arthur Szlam; Jason Weston",2021,https://proceedings.neurips.cc/paper/2021/hash/92bf5e6240737e0326ea59846a83e076-Abstract.html,,hash-based sparse routing,"non-adaptive route assignment can limit specialization",random/hash control for H1 and H4,2026-06-20
compression,GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers,"Elias Frantar; Saleh Ashkboos; Torsten Hoefler; Dan Alistarh",2022-10-31,https://arxiv.org/abs/2210.17323,https://github.com/IST-DASLab/gptq,second-order one-shot weight quantization,"hardware and model specific speedups; calibration sensitivity",strong Hessian-aware baseline for H2/H3,2026-06-20
compression,AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration,"Ji Lin et al.",2023-06-01,https://arxiv.org/abs/2306.00978,https://github.com/mit-han-lab/llm-awq,activation-aware salient-channel protection,"activation salience is not causal proof; hardware kernels matter",strong activation-aware baseline for H3,2026-06-20
compression,SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models,"Guangxuan Xiao et al.",2022-11-17,https://arxiv.org/abs/2211.10438,https://github.com/mit-han-lab/smoothquant,activation-to-weight smoothing for W8A8 quantization,"requires calibration and kernel support",baseline for activation-aware compression,2026-06-20
compression,Tensorizing Neural Networks,"Alexander Novikov et al.",2015,https://arxiv.org/abs/1509.06569,,tensor train layer compression,"older architectures; reconstruction/runtime overhead can dominate",baseline for H2 tensor decomposition,2026-06-20
continual,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,"Patrick Lewis et al.",2020-05-22,https://arxiv.org/abs/2005.11401,,parametric plus non-parametric retrieval memory,"retriever quality and provenance remain hard",minimum strong baseline for H5,2026-06-20
continual,LoRA: Low-Rank Adaptation of Large Language Models,"Edward J. Hu et al.",2021-06-17,https://arxiv.org/abs/2106.09685,https://github.com/microsoft/LoRA,low-rank trainable adaptation,"adapter management and merge/regression issues remain",modular parameter update baseline for H5,2026-06-20
importance,Locating and Editing Factual Associations in GPT,"Kevin Meng; David Bau; Alex Andonian; Yonatan Belinkov",2022-02-10,https://arxiv.org/abs/2202.05262,https://rome.baulab.info/,causal tracing and rank-one model editing,"fact edits may not generalize safely; accumulation risks",causal carrier and targeted-edit baseline for H3/H5,2026-06-20
continual,The Curse of Recursion: Training on Generated Data Makes Models Forget,"Ilia Shumailov et al.",2023-05-27,https://arxiv.org/abs/2305.17493,,model collapse from recursive generated data,"distribution-specific evidence",supports trust hierarchy and synthetic-data controls,2026-06-20
implementation,DwarfStar DS4,"Salvatore Sanfilippo and contributors",2026,https://github.com/antirez/ds4,https://github.com/antirez/ds4,DeepSeek V4 local inference; routed expert quantization; imatrix; SSD expert streaming,"narrow engine; beta quality; model-specific GGUF tooling; DS4-scale GPU results not reproduced here",source case study for H3 selective precision and H4 routed expert execution,2026-06-20
model-source,sshleifer/tiny-gpt2,Hugging Face user sshleifer,2026,https://huggingface.co/sshleifer/tiny-gpt2,https://huggingface.co/sshleifer/tiny-gpt2,public tiny GPT-2 checkpoint source pinned to commit 5f91d94bd9cd7190a9f3216ff93cd1dd95f2c7be,"tiny model; skinny tensors; useful only as a smoke-test checkpoint source, not production-scale language-model evidence",real open-model matrix source for E3h,2026-06-20
